manager,team,current,date_start,date_end
Jürgen Klopp,Liverpool FC,False,2015-10-08,2024-05-24
Pep Guardiola,Manchester City,True,2016-07-01,
Thomas Frank,Brentford FC,True,2018-10-16,
Mikel Arteta,Arsenal FC,True,2019-12-22,
David Moyes,West Ham United,False,2019-12-30,2024-05-19
David Moyes,Everton FC,False,2002-03-14,2013-06-30
David Moyes,Manchester United,False,2013-07-01,2014-04-22
Marco Silva,Fulham FC,True,2021-07-01,
Steve Cooper,Nottingham Forest,False,2021-09-21,2023-12-19
Eddie Howe,Newcastle United,True,2021-11-08,
Paul Heckingbottom,Sheffield United,False,2021-11-25,2023-12-5
Erik Ten Hag,Manchester United,True,2022-05-23,
Russell Martin,Southampton FC,True,2022-06-14,
Andoni Iraola,AFC Bournemouth,True,2023-06-19,
Roberto De Zerbi,Brighton & Hove Albion,False,2022-09-18,2024-05-19
Unai Emery,Aston Villa,True,2022-11-01,
Julen Lopetegui,Wolverhampton Wanderers,False,2022-11-14,2023-08-08
Oliver Glasner,Crystal Palace,True,2024-02-19,
Sean Dyche,Everton FC,True,2023-01-30,
Roy Hodgson,Crystal Palace,False,2023-03-21,2024-02-19
Ange Postecoglou,Tottenham Hotspur,True,2023-06-06,
Mauricio Pochettino,Chelsea FC,False,2023-05-29,2024-05-21
Sir Alex Ferguson,Manchester United,False,1986-11-06,2013-06-30
Arsène Wenger,Arsenal FC,False,1996-10-01,2018-06-30
Rafael Benitez,Liverpool FC,False,2004-07-01,2010-06-03
Jose Mourinho,Chelsea FC,False,2004-07-01,2007-09-20
Jose Mourinho,Manchester United,False,2016-07-01,2018-12-18
Jose Mourinho,Tottenham Hotspur,False,2019-11-20,2021-04-19
Roberto Mancini,Manchester City,False,2009-12-19,2013-05-13
Antonio Conte,Chelsea FC,False,2016-07-01,2018-07-13
Antonio Conte,Tottenham Hotspur,False,2021-11-02,2023-03-26
Ralf Rangnick,Manchester United,False,2021-12-03,2022-05-31
Harry Redknapp,Tottenham Hotspur,False,2008-11-26,2012-06-14
Claudio Ranieri,Leicester City,False,2015-07-13,2017-02-23
Frank Lampard,Chelsea FC,False,2023-04-06,2023-06-30
Frank Lampard,Everton FC,False,2022-01-31,2023-01-23
Frank de Boer,Crystal Palace,False,2017-07-01,2017-09-11
Thomas Tuchel,Chelsea FC,False,2021-01-26,2022-09-07
Carlo Ancelotti,Chelsea FC,False,2009-07-01,2011-05-22
Sam Allardyce,Bolton Wanderers,False,1999-10-19,2007-05-30
Sam Allardyce,West Ham United,False,2011-11-07,2015-06-30
Sam Allardyce,Leeds United,False,2023-05-03,2023-06-30
Kevin Keegan,Newcastle United,False,1992-02-05,1997-01-08
Paul Jewell,Derby County,False,2007-11-28,2008-12-28
Jan Siewert,Huddersfield Town,False,2019-01-21,2019-08-16
Les Reed,Charlton Athletic,False,2006-11-16,2006-12-24
Terry Connor,Wolverhampton Wanderers,False,2012-02-13,2012-06-30
Remi Garde,Aston Villa,False,2015-11-03,2016-03-29
Chris Hutchings,Wigan Athletic,False,2007-07-01,2007-11-05
Ole Gunnar Solskjaer,Cardiff City,False,2014-01-02,2014-09-18
Ole Gunnar Solskjaer,Manchester United,False,2018-12-19,2021-11-21
Bob Bradley,Swansea City,False,2016-10-04,2016-12-27
Felix Magath,Fulham FC,False,2014-02-14,2014-10-18
Nathan Jones,Southampton FC,False,2022-11-10,2023-02-12
Paolo Di Canio,Sunderland AFC,False,2013-03-31,2013-09-22
René Meulensteen,Fulham FC,False,2013-12-01,2014-02-14
Juande Ramos,Tottenham Hotspur,False,2007-10-26,2008-10-27
André Villas-Boas,Tottenham Hotspur,False,2012-07-03,2013-12-16
André Villas-Boas,Chelsea FC,False,2011-07-01,2012-03-04
Nuno Espírito Santo,Tottenham Hotspur,False,2021-07-01,2021-11-01
Alan Pardew,Newcastle United,False,2010-12-09,2015-01-02
Louis van Gaal,Manchester United,False,2014-07-14,2016-05-23
Mick McCarthy,Wolverhampton Wanderers,False,2006-07-01,2012-02-13
Roberto Di Matteo,Chelsea FC,False,2012-03-04,2012-11-21
Avram Grant,Chelsea FC,False,2007-09-20,2008-05-24
Steven Gerrard,Aston Villa,False,2021-11-11,2022-10-20
Gary O'Neil,Wolverhampton Wanderers,True,2023-08-09,
Kieran McKenna,Ipswich Town,True,2021-07-01
Arne Slot,Liverpool FC,True,2024-06-01,
