name,nationality,face_image
Jürgen Klopp,Germany,True
Pep Guardiola,Spain,True
Thomas Frank,Denmark,True
Mikel Arteta,Spain,True
David Moyes,Scotland,True
Marco Silva,Portugal,True
Steve Cooper,Wales,True
Eddie Howe,England,True
Paul Heckingbottom,England,True
Erik Ten Hag,Netherlands,True
Russell Martin,Scotland,True
Andoni Iraola,Spain,True
Roberto De Zerbi,Italy,True
Unai Emery,Spain,True
Julen Lopetegui,Spain,True
Oliver Glasner,Austria,43True0True09
Sean Dyche,England,True
Roy Hodgson,England,True
Ange Postecoglou,Australia,True
Mauricio Pochettino,Argentina,True
Sir Alex Ferguson,Scotland,False
Arsène Wenger,France,False
Rafael Benitez,Spain,True
Jose Mourinho,Portugal,True
Roberto Mancini,Italy,True
Antonio Conte,Italy,True
Ralf Rangnick,Germany,True
Harry Redknapp,England,False
Claudio Ranieri,Italy,True
Frank Lampard,England,True
Frank de Boer,Netherlands,True
Thomas Tuchel,Germany,True
Carlo Ancelotti,Italy,True
Sam Allardyce,England,True
Kevin Keegan,England,False
Paul Jewell,England,False
Jan Siewert,Germany,True
Les Reed,England,False
Terry Connor,England,False
Remi Garde,France,True
Chris Hutchings,England,False
Ole Gunnar Solskjaer,Norway,False
Bob Bradley,United States,True
Felix Magath,Germany,True
Nathan Jones,Wales,True
Paolo Di Canio,Italy,False
René Meulensteen,Netherlands,False
Juande Ramos,Spain,False
André Villas-Boas,Portugal,True
Nuno Espírito Santo,Portugal,True
Alan Pardew,England,True
Louis van Gaal,Netherlands,True
Mick McCarthy,Republic of Ireland,True
Roberto Di Matteo,Italy,False
Avram Grant,Israel,False
Steven Gerrard,England,False
Gary O'Neil,England,True
Kieran McKenna,Northern Ireland,True
Arne Slot,Netherlands,True
