team_id,team_name,logo_id
1,AFC Bournemouth,8678
2,Arsenal FC,9825
3,Aston Villa,10252
4,Barnsley FC,8283
5,Birmingham City,8658
6,Blackburn Rovers,8655
7,Blackpool FC,8483
8,Bolton Wanderers,8559
9,Bradford City,8484
10,Brentford FC,9937
11,Brighton & Hove Albion,10204
12,Burnley FC,8191
13,Cardiff City,8344
14,Charlton Athletic,8451
15,Chelsea FC,8455
16,Coventry City,8669
17,Crystal Palace,9826
18,Derby County,10170
19,Everton FC,8668
20,Fulham FC,9879
21,Huddersfield Town,9796
22,Hull City,8667
23,Ipswich Town,9902
24,Leeds United,8463
25,Leicester City,8197
26,Liverpool FC,8650
27,Manchester City,8456
28,Manchester United,10260
29,Middlesbrough FC,8549
30,Newcastle United,10261
31,Norwich City,9850
32,Nottingham Forest,10203
33,Oldham Athletic,9785
34,Portsmouth FC,8462
35,Queens Park Rangers,10172
36,Reading FC,9798
37,Sheffield United,8657
38,Sheffield Wednesday,10163
39,Southampton FC,8466
40,Stoke City,10194
41,Sunderland AFC,8472
42,Swansea City,10003
43,Swindon Town,9795
44,Tottenham Hotspur,8586
45,Watford FC,9817
46,West Bromwich Albion,8659
47,West Ham United,8654
48,Wigan Athletic,8528
49,Wimbledon FC,158319
50,Wolverhampton Wanderers,8602
51,Luton Town,8346
